CB,Cp,CM,CW,L_B,B_H,Speed_Length_Ratio,Froude_Number,LCB_Final,S_Wetted_Coeff,Alpha_e,L_V_3,Disp_(L/100)*3,Model_Number,stratify_col,Resistance_Coefficient_C
0.6,0.614,0.977,0.7,7.5,2.5,0.35,0.925,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.681
0.6,0.614,0.977,0.7,7.5,2.5,0.4,1.057,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.674
0.6,0.614,0.977,0.7,7.5,2.5,0.45,1.189,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.67
0.6,0.614,0.977,0.7,7.5,2.5,0.5,1.321,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.675
0.6,0.614,0.977,0.7,7.5,2.5,0.55,1.453,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.678
0.6,0.614,0.977,0.7,7.5,2.5,0.6,1.585,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.681
0.6,0.614,0.977,0.7,7.5,2.5,0.625,1.651,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.684
0.6,0.614,0.977,0.7,7.5,2.5,0.65,1.717,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.688
0.6,0.614,0.977,0.7,7.5,2.5,0.675,1.783,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.693
0.6,0.614,0.977,0.7,7.5,2.5,0.7,1.849,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.696
0.6,0.614,0.977,0.7,7.5,2.5,0.725,1.915,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.7
0.6,0.614,0.977,0.7,7.5,2.5,0.75,1.981,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.706
0.6,0.614,0.977,0.7,7.5,2.5,0.775,2.047,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.713
0.6,0.614,0.977,0.7,7.5,2.5,0.8,2.113,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.718
0.6,0.614,0.977,0.7,7.5,2.5,0.825,2.179,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.726
0.6,0.614,0.977,0.7,7.5,2.5,0.85,2.245,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.738
0.6,0.614,0.977,0.7,7.5,2.5,0.875,2.312,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.776
0.6,0.614,0.977,0.7,7.5,2.5,0.9,2.378,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.835
0.6,0.614,0.977,0.7,7.5,2.5,0.925,2.444,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.906
0.6,0.614,0.977,0.7,7.5,2.5,0.95,2.51,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,0.983
0.6,0.614,0.977,0.7,7.5,2.5,0.975,2.576,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.044
0.6,0.614,0.977,0.7,7.5,2.5,1.0,2.642,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.077
0.6,0.614,0.977,0.7,7.5,2.5,1.025,2.708,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.09
0.6,0.614,0.977,0.7,7.5,2.5,1.05,2.774,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.093
0.6,0.614,0.977,0.7,7.5,2.5,1.075,2.84,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.09
0.6,0.614,0.977,0.7,7.5,2.5,1.1,2.906,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.089
0.6,0.614,0.977,0.7,7.5,2.5,1.15,3.038,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.153
0.6,0.614,0.977,0.7,7.5,2.5,1.2,3.17,-2.48,6.478,6.2,6.165,122.0,4215,4215_0.6,1.341
0.6,0.614,0.977,0.706,7.5,2.5,0.35,0.925,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.685
0.6,0.614,0.977,0.706,7.5,2.5,0.4,1.057,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.677
0.6,0.614,0.977,0.706,7.5,2.5,0.45,1.189,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.676
0.6,0.614,0.977,0.706,7.5,2.5,0.5,1.321,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.676
0.6,0.614,0.977,0.706,7.5,2.5,0.55,1.453,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.678
0.6,0.614,0.977,0.706,7.5,2.5,0.6,1.585,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.681
0.6,0.614,0.977,0.706,7.5,2.5,0.625,1.651,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.681
0.6,0.614,0.977,0.706,7.5,2.5,0.65,1.717,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.684
0.6,0.614,0.977,0.706,7.5,2.5,0.675,1.783,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.689
0.6,0.614,0.977,0.706,7.5,2.5,0.7,1.849,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.694
0.6,0.614,0.977,0.706,7.5,2.5,0.725,1.915,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.697
0.6,0.614,0.977,0.706,7.5,2.5,0.75,1.981,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.697
0.6,0.614,0.977,0.706,7.5,2.5,0.775,2.047,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.7
0.6,0.614,0.977,0.706,7.5,2.5,0.8,2.113,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.704
0.6,0.614,0.977,0.706,7.5,2.5,0.825,2.179,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.708
0.6,0.614,0.977,0.706,7.5,2.5,0.85,2.245,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.721
0.6,0.614,0.977,0.706,7.5,2.5,0.875,2.312,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.757
0.6,0.614,0.977,0.706,7.5,2.5,0.9,2.378,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.825
0.6,0.614,0.977,0.706,7.5,2.5,0.925,2.444,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.904
0.6,0.614,0.977,0.706,7.5,2.5,0.95,2.51,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,0.978
0.6,0.614,0.977,0.706,7.5,2.5,0.975,2.576,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.042
0.6,0.614,0.977,0.706,7.5,2.5,1.0,2.642,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.083
0.6,0.614,0.977,0.706,7.5,2.5,1.025,2.708,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.09
0.6,0.614,0.977,0.706,7.5,2.5,1.05,2.774,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.103
0.6,0.614,0.977,0.706,7.5,2.5,1.075,2.84,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.09
0.6,0.614,0.977,0.706,7.5,2.5,1.1,2.906,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.099
0.6,0.614,0.977,0.706,7.5,2.5,1.15,3.038,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.17
0.6,0.614,0.977,0.706,7.5,2.5,1.2,3.17,-1.5,6.481,7.0,6.165,122.0,4210,4210_0.6,1.348
0.6,0.614,0.977,0.712,7.5,2.5,0.35,0.925,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.679
0.6,0.614,0.977,0.712,7.5,2.5,0.4,1.057,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.675
0.6,0.614,0.977,0.712,7.5,2.5,0.45,1.189,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.673
0.6,0.614,0.977,0.712,7.5,2.5,0.5,1.321,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.673
0.6,0.614,0.977,0.712,7.5,2.5,0.55,1.453,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.677
0.6,0.614,0.977,0.712,7.5,2.5,0.6,1.585,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.68
0.6,0.614,0.977,0.712,7.5,2.5,0.625,1.651,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.681
0.6,0.614,0.977,0.712,7.5,2.5,0.65,1.717,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.684
0.6,0.614,0.977,0.712,7.5,2.5,0.675,1.783,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.689
0.6,0.614,0.977,0.712,7.5,2.5,0.7,1.849,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.694
0.6,0.614,0.977,0.712,7.5,2.5,0.725,1.915,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.697
0.6,0.614,0.977,0.712,7.5,2.5,0.75,1.981,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.7
0.6,0.614,0.977,0.712,7.5,2.5,0.775,2.047,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.702
0.6,0.614,0.977,0.712,7.5,2.5,0.8,2.113,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.706
0.6,0.614,0.977,0.712,7.5,2.5,0.825,2.179,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.724
0.6,0.614,0.977,0.712,7.5,2.5,0.85,2.245,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.744
0.6,0.614,0.977,0.712,7.5,2.5,0.875,2.312,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.778
0.6,0.614,0.977,0.712,7.5,2.5,0.9,2.378,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.842
0.6,0.614,0.977,0.712,7.5,2.5,0.925,2.444,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,0.94
0.6,0.614,0.977,0.712,7.5,2.5,0.95,2.51,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.024
0.6,0.614,0.977,0.712,7.5,2.5,0.975,2.576,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.077
0.6,0.614,0.977,0.712,7.5,2.5,1.0,2.642,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.118
0.6,0.614,0.977,0.712,7.5,2.5,1.025,2.708,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.135
0.6,0.614,0.977,0.712,7.5,2.5,1.05,2.774,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.143
0.6,0.614,0.977,0.712,7.5,2.5,1.075,2.84,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.142
0.6,0.614,0.977,0.712,7.5,2.5,1.1,2.906,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.143
0.6,0.614,0.977,0.712,7.5,2.5,1.15,3.038,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.206
0.6,0.614,0.977,0.712,7.5,2.5,1.2,3.17,-0.51,6.504,7.6,6.165,122.0,4216,4216_0.6,1.344
0.6,0.614,0.977,0.715,7.5,2.5,0.35,0.925,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.676
0.6,0.614,0.977,0.715,7.5,2.5,0.4,1.057,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.67
0.6,0.614,0.977,0.715,7.5,2.5,0.45,1.189,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.669
0.6,0.614,0.977,0.715,7.5,2.5,0.5,1.321,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.666
0.6,0.614,0.977,0.715,7.5,2.5,0.55,1.453,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.661
0.6,0.614,0.977,0.715,7.5,2.5,0.6,1.585,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.673
0.6,0.614,0.977,0.715,7.5,2.5,0.625,1.651,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.679
0.6,0.614,0.977,0.715,7.5,2.5,0.65,1.717,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.689
0.6,0.614,0.977,0.715,7.5,2.5,0.675,1.783,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.696
0.6,0.614,0.977,0.715,7.5,2.5,0.7,1.849,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.7
0.6,0.614,0.977,0.715,7.5,2.5,0.725,1.915,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.703
0.6,0.614,0.977,0.715,7.5,2.5,0.75,1.981,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.705
0.6,0.614,0.977,0.715,7.5,2.5,0.775,2.047,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.709
0.6,0.614,0.977,0.715,7.5,2.5,0.8,2.113,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.716
0.6,0.614,0.977,0.715,7.5,2.5,0.825,2.179,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.731
0.6,0.614,0.977,0.715,7.5,2.5,0.85,2.245,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.768
0.6,0.614,0.977,0.715,7.5,2.5,0.875,2.312,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.811
0.6,0.614,0.977,0.715,7.5,2.5,0.9,2.378,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.882
0.6,0.614,0.977,0.715,7.5,2.5,0.925,2.444,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,0.956
0.6,0.614,0.977,0.715,7.5,2.5,0.95,2.51,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.031
0.6,0.614,0.977,0.715,7.5,2.5,0.975,2.576,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.096
0.6,0.614,0.977,0.715,7.5,2.5,1.0,2.642,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.145
0.6,0.614,0.977,0.715,7.5,2.5,1.025,2.708,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.172
0.6,0.614,0.977,0.715,7.5,2.5,1.05,2.774,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.169
0.6,0.614,0.977,0.715,7.5,2.5,1.075,2.84,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.159
0.6,0.614,0.977,0.715,7.5,2.5,1.1,2.906,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.165
0.6,0.614,0.977,0.715,7.5,2.5,1.15,3.038,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.241
0.6,0.614,0.977,0.715,7.5,2.5,1.2,3.17,0.52,6.527,8.3,6.165,122.0,4217,4217_0.6,1.397
0.65,0.664,0.982,0.749,7.25,2.5,0.25,0.644,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.726
0.65,0.664,0.982,0.749,7.25,2.5,0.3,0.773,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.715
0.65,0.664,0.982,0.749,7.25,2.5,0.35,0.902,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.706
0.65,0.664,0.982,0.749,7.25,2.5,0.4,1.031,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.699
0.65,0.664,0.982,0.749,7.25,2.5,0.45,1.16,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.695
0.65,0.664,0.982,0.749,7.25,2.5,0.5,1.289,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.692
0.65,0.664,0.982,0.749,7.25,2.5,0.55,1.418,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.692
0.65,0.664,0.982,0.749,7.25,2.5,0.6,1.546,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.692
0.65,0.664,0.982,0.749,7.25,2.5,0.65,1.675,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.701
0.65,0.664,0.982,0.749,7.25,2.5,0.675,1.74,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.714
0.65,0.664,0.982,0.749,7.25,2.5,0.7,1.804,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.727
0.65,0.664,0.982,0.749,7.25,2.5,0.725,1.869,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.731
0.65,0.664,0.982,0.749,7.25,2.5,0.75,1.933,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.732
0.65,0.664,0.982,0.749,7.25,2.5,0.775,1.997,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.73
0.65,0.664,0.982,0.749,7.25,2.5,0.8,2.062,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.731
0.65,0.664,0.982,0.749,7.25,2.5,0.825,2.126,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.737
0.65,0.664,0.982,0.749,7.25,2.5,0.85,2.191,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.759
0.65,0.664,0.982,0.749,7.25,2.5,0.875,2.255,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.808
0.65,0.664,0.982,0.749,7.25,2.5,0.9,2.32,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,0.906
0.65,0.664,0.982,0.749,7.25,2.5,0.95,2.448,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,1.189
0.65,0.664,0.982,0.749,7.25,2.5,1.0,2.577,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,1.453
0.65,0.664,0.982,0.749,7.25,2.5,1.05,2.706,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,1.552
0.65,0.664,0.982,0.749,7.25,2.5,1.1,2.835,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,1.537
0.65,0.664,0.982,0.749,7.25,2.5,1.15,2.964,-2.46,6.32,7.7,5.86,142.0,4231,4231_0.65,1.525
0.65,0.661,0.982,0.744,7.25,2.5,0.25,0.644,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.691
0.65,0.661,0.982,0.744,7.25,2.5,0.3,0.773,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.682
0.65,0.661,0.982,0.744,7.25,2.5,0.35,0.902,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.674
0.65,0.661,0.982,0.744,7.25,2.5,0.4,1.031,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.667
0.65,0.661,0.982,0.744,7.25,2.5,0.45,1.16,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.667
0.65,0.661,0.982,0.744,7.25,2.5,0.5,1.289,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.67
0.65,0.661,0.982,0.744,7.25,2.5,0.55,1.418,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.674
0.65,0.661,0.982,0.744,7.25,2.5,0.6,1.546,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.676
0.65,0.661,0.982,0.744,7.25,2.5,0.65,1.675,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.691
0.65,0.661,0.982,0.744,7.25,2.5,0.675,1.74,-1.54,6.326,8.3,5.869,141.4,4218,4218_0.65,0.699
